query_id,rtree_us,brute_us,hits,denom,recall
460,2444,639,10,10,1
461,2398,513,10,10,1
462,2425,550,10,10,1
463,2592,502,10,10,1
464,2510,612,10,10,1
465,2524,596,10,10,1
466,2395,526,10,10,1
467,2394,521,10,10,1
468,2528,556,10,10,1
469,2358,506,10,10,1
470,2545,605,10,10,1
471,2327,626,10,10,1
472,2415,648,10,10,1
473,2477,611,10,10,1
474,2672,574,10,10,1
475,2529,568,10,10,1
476,2652,574,10,10,1
477,2544,581,10,10,1
478,2570,564,10,10,1
479,2530,535,10,10,1
480,2398,618,10,10,1
481,2385,530,10,10,1
482,2358,575,10,10,1
483,2386,537,10,10,1
484,2531,661,10,10,1
485,2582,567,10,10,1
486,2663,573,10,10,1
487,2658,567,10,10,1
488,2859,583,10,10,1
489,2641,578,10,10,1
490,2656,625,10,10,1
491,4247,1185,10,10,1
492,4305,1173,10,10,1
493,4341,1210,10,10,1
494,4357,1206,10,10,1
495,4390,1190,10,10,1
496,4347,1187,10,10,1
497,4363,1199,10,10,1
498,4344,1229,10,10,1
499,4135,1208,10,10,1
